,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
491,65 years and over,263,24227,28824,131,15039,17893,Less than 9th grade,2010
496,Total,3011,21404,25886,1547,15750,19048,Less than 9th grade,2009
497,18 to 24 years,231,15971,19315,54,(B),(B),Less than 9th grade,2009
498,25 to 34 years,712,19489,23570,302,17244,20855,Less than 9th grade,2009
499,35 to 44 years,802,22404,27095,391,15531,18783,Less than 9th grade,2009
500,45 to 54 years,580,23182,28036,411,14562,17611,Less than 9th grade,2009
501,55 to 64 years,448,23697,28659,277,16950,20499,Less than 9th grade,2009
502,65 years and over,237,20389,24658,112,17083,20660,Less than 9th grade,2009
507,Total,3241,23877,28776,1645,15497,18677,Less than 9th grade,2008
508,18 to 24 years,251,16200,19524,67,(B),(B),Less than 9th grade,2008
509,25 to 34 years,749,20418,24607,281,13679,16486,Less than 9th grade,2008
510,35 to 44 years,849,24770,29852,429,16241,19573,Less than 9th grade,2008
511,45 to 54 years,693,26434,31858,449,16012,19297,Less than 9th grade,2008
512,55 to 64 years,501,28173,33954,271,18820,22682,Less than 9th grade,2008
513,65 years and over,197,23070,27804,149,11830,14257,Less than 9th grade,2008
518,Total,3297,24725,30943,1533,16111,20163,Less than 9th grade,2007
519,18 to 24 years,284,15346,19205,84,8798,11010,Less than 9th grade,2007
520,25 to 34 years,784,23030,28822,221,14514,18164,Less than 9th grade,2007
521,35 to 44 years,889,23119,28933,427,19211,24042,Less than 9th grade,2007
522,45 to 54 years,713,26459,33113,412,16851,21089,Less than 9th grade,2007
523,55 to 64 years,409,27353,34232,267,14524,18176,Less than 9th grade,2007
524,65 years and over,217,39018,48830,123,14147,17705,Less than 9th grade,2007
529,Total,3538,23227,29892,1712,15820,20360,Less than 9th grade,2006
530,18 to 24 years,331,16196,20844,116,11151,14351,Less than 9th grade,2006
531,25 to 34 years,908,21279,27385,311,13852,17827,Less than 9th grade,2006
532,35 to 44 years,852,26701,34363,417,17717,22801,Less than 9th grade,2006
533,45 to 54 years,685,25325,32592,418,17068,21966,Less than 9th grade,2006
