,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
2499,65 years and over,1637,65707,67733,1212,44311,45677,Bachelor's Degree or More,2018
2504,Total,19671,82092,86686,19519,54303,57342,Bachelor's Degree or More,2017
2505,18 to 24 years,1066,36498,38540,1500,31785,33564,Bachelor's Degree or More,2017
2506,25 to 34 years,5460,66747,70482,5498,46532,49136,Bachelor's Degree or More,2017
2507,35 to 44 years,4474,90729,95806,4306,59461,62788,Bachelor's Degree or More,2017
2508,45 to 54 years,3841,99469,105035,4067,63064,66593,Bachelor's Degree or More,2017
2509,55 to 64 years,3309,95769,101128,3075,64362,67963,Bachelor's Degree or More,2017
2510,65 years and over,1523,70090,74012,1074,42869,45268,Bachelor's Degree or More,2017
2515,Total,19658,81607,86173,19496,53804,56815,Bachelor's Degree or More,2017
2516,18 to 24 years,1082,39909,42142,1504,31507,33270,Bachelor's Degree or More,2017
2517,25 to 34 years,5418,68217,72034,5510,46273,48862,Bachelor's Degree or More,2017
2518,35 to 44 years,4467,88227,93164,4302,60022,63381,Bachelor's Degree or More,2017
2519,45 to 54 years,3878,99397,104959,4068,62381,65872,Bachelor's Degree or More,2017
2520,55 to 64 years,3288,93354,98578,3058,62448,65942,Bachelor's Degree or More,2017
2521,65 years and over,1524,68780,72629,1054,41438,43757,Bachelor's Degree or More,2017
2526,Total,18627,82089,88546,18645,52461,56588,Bachelor's Degree or More,2016
2527,18 to 24 years,1051,41978,45280,1457,29456,31773,Bachelor's Degree or More,2016
2528,25 to 34 years,4846,64072,69112,5199,46612,50279,Bachelor's Degree or More,2016
2529,35 to 44 years,4238,93237,100571,4111,58371,62963,Bachelor's Degree or More,2016
2530,45 to 54 years,3884,101346,109318,3845,60280,65022,Bachelor's Degree or More,2016
2531,55 to 64 years,3106,91754,98972,3031,61335,66160,Bachelor's Degree or More,2016
2532,65 years and over,1503,67049,72323,1002,35170,37937,Bachelor's Degree or More,2016
2537,Total,18287,79927,87326,18062,50856,55564,Bachelor's Degree or More,2015
2538,18 to 24 years,962,39597,43263,1352,28289,30908,Bachelor's Degree or More,2015
2539,25 to 34 years,4970,62826,68642,4798,46559,50869,Bachelor's Degree or More,2015
2540,35 to 44 years,3910,87763,95888,4078,55114,60216,Bachelor's Degree or More,2015
2541,45 to 54 years,3908,98707,107845,3957,56741,61994,Bachelor's Degree or More,2015
2542,55 to 64 years,3122,92112,100639,2927,57201,62496,Bachelor's Degree or More,2015
2543,65 years and over,1415,67013,73217,951,42348,46268,Bachelor's Degree or More,2015
2548,Total,17726,76169,83364,17580,48650,53245,Bachelor's Degree or More,2014
2549,18 to 24 years,1045,33506,36671,1333,26309,28794,Bachelor's Degree or More,2014
2550,25 to 34 years,4665,60512,66228,4784,43214,47296,Bachelor's Degree or More,2014
2551,35 to 44 years,3941,87258,95500,3929,55343,60571,Bachelor's Degree or More,2014
2552,45 to 54 years,3889,94818,103774,3989,55369,60599,Bachelor's Degree or More,2014
2553,55 to 64 years,2932,78204,85591,2714,52955,57957,Bachelor's Degree or More,2014
2554,65 years and over,1253,72522,79372,831,37827,41400,Bachelor's Degree or More,2014
2559,Total,17212,74885,83346,17675,47651,53035,Bachelor's Degree or More,2013
2560,18 to 24 years,1197,31470,35026,1327,32148,35780,Bachelor's Degree or More,2013
2561,25 to 34 years,4428,64673,71981,4983,41112,45757,Bachelor's Degree or More,2013
2562,35 to 44 years,3860,85864,95566,3874,51322,57121,Bachelor's Degree or More,2013
2563,45 to 54 years,3580,91580,101928,3943,55533,61808,Bachelor's Degree or More,2013
2564,55 to 64 years,2932,78195,87030,2863,53076,59073,Bachelor's Degree or More,2013
2565,65 years and over,1216,62814,69912,684,36427,40543,Bachelor's Degree or More,2013
2570,Total,17204,72124,80273,17219,47209,52543,Bachelor's Degree or More,2013
2571,18 to 24 years,1003,33570,37363,1420,24320,27068,Bachelor's Degree or More,2013
2572,25 to 34 years,4504,56082,62419,4656,42388,47178,Bachelor's Degree or More,2013
2573,35 to 44 years,3820,81738,90974,3878,51620,57453,Bachelor's Degree or More,2013
2574,45 to 54 years,3937,89648,99778,3831,55142,61373,Bachelor's Degree or More,2013
2575,55 to 64 years,2730,79185,88132,2664,52352,58267,Bachelor's Degree or More,2013
2576,65 years and over,1210,60491,67326,769,39111,43530,Bachelor's Degree or More,2013
2581,Total,17175,72546,81939,16774,47477,53624,Bachelor's Degree or More,2012
2582,18 to 24 years,1029,30221,34134,1238,22658,25592,Bachelor's Degree or More,2012
2583,25 to 34 years,4502,57655,65120,4613,42125,47579,Bachelor's Degree or More,2012
2584,35 to 44 years,3833,81535,92092,3776,53336,60242,Bachelor's Degree or More,2012
2585,45 to 54 years,3899,90237,101921,3829,54353,61391,Bachelor's Degree or More,2012
2586,55 to 64 years,2793,77694,87754,2645,52537,59340,Bachelor's Degree or More,2012
2587,65 years and over,1119,66101,74660,673,37912,42821,Bachelor's Degree or More,2012
2592,Total,16770,71162,82079,16419,47418,54692,Bachelor's Degree or More,2011
2593,18 to 24 years,916,29418,33931,1241,24642,28422,Bachelor's Degree or More,2011
2594,25 to 34 years,4328,54338,62674,4542,41486,47850,Bachelor's Degree or More,2011
2595,35 to 44 years,3859,80354,92681,3779,52286,60307,Bachelor's Degree or More,2011
2596,45 to 54 years,3822,89084,102750,3713,55163,63625,Bachelor's Degree or More,2011
2597,55 to 64 years,2882,78213,90211,2506,53787,62038,Bachelor's Degree or More,2011
2598,65 years and over,963,57381,66183,638,35045,40421,Bachelor's Degree or More,2011
2603,Total,16486,69764,83003,15885,45015,53557,Bachelor's Degree or More,2010
2604,18 to 24 years,892,32049,38131,1207,23710,28209,Bachelor's Degree or More,2010
2605,25 to 34 years,4151,54467,64803,4307,39796,47348,Bachelor's Degree or More,2010
2606,35 to 44 years,3915,79617,94725,3770,51624,61420,Bachelor's Degree or More,2010
2607,45 to 54 years,3801,83064,98826,3637,51663,61467,Bachelor's Degree or More,2010
2608,55 to 64 years,2903,78267,93119,2382,47200,56157,Bachelor's Degree or More,2010
2609,65 years and over,825,49561,58966,583,34503,41050,Bachelor's Degree or More,2010
2614,Total,16227,69479,84027,15901,43589,52716,Bachelor's Degree or More,2009
2615,18 to 24 years,850,29408,35566,1155,22052,26669,Bachelor's Degree or More,2009
2616,25 to 34 years,4136,52586,63597,4555,39432,47689,Bachelor's Degree or More,2009
2617,35 to 44 years,4043,80420,97259,3703,48889,59126,Bachelor's Degree or More,2009
2618,45 to 54 years,3651,88520,107055,3658,50611,61208,Bachelor's Degree or More,2009
2619,55 to 64 years,2705,71185,86090,2253,45846,55446,Bachelor's Degree or More,2009
2620,65 years and over,842,52340,63300,577,32187,38927,Bachelor's Degree or More,2009
2625,Total,16101,72868,87819,15789,44078,53122,Bachelor's Degree or More,2008
2626,18 to 24 years,951,29441,35482,1261,25527,30765,Bachelor's Degree or More,2008
2627,25 to 34 years,3956,57653,69483,4353,40076,48299,Bachelor's Degree or More,2008
2628,35 to 44 years,4040,81535,98265,3776,50066,60339,Bachelor's Degree or More,2008
2629,45 to 54 years,3698,89027,107294,3627,50710,61115,Bachelor's Degree or More,2008
2630,55 to 64 years,2640,82165,99024,2248,44428,53544,Bachelor's Degree or More,2008
2631,65 years and over,816,51064,61542,524,31408,37852,Bachelor's Degree or More,2008
2636,Total,16109,70898,88727,15723,43127,53972,Bachelor's Degree or More,2007
2637,18 to 24 years,883,27801,34792,1197,24576,30756,Bachelor's Degree or More,2007
2638,25 to 34 years,4119,58143,72765,4331,38852,48622,Bachelor's Degree or More,2007
2639,35 to 44 years,4095,78692,98481,3910,46821,58595,Bachelor's Degree or More,2007
2640,45 to 54 years,3743,85028,106411,3724,51150,64013,Bachelor's Degree or More,2007
2641,55 to 64 years,2568,75606,94619,2069,44803,56070,Bachelor's Degree or More,2007
2642,65 years and over,701,61923,77495,491,28719,35941,Bachelor's Degree or More,2007
2647,Total,15770,69818,89854,15237,43302,55728,Bachelor's Degree or More,2006
2648,18 to 24 years,780,27927,35941,1137,23423,30145,Bachelor's Degree or More,2006
2649,25 to 34 years,3990,58421,75186,4144,39387,50690,Bachelor's Degree or More,2006
2650,35 to 44 years,4198,78878,101513,3960,46854,60300,Bachelor's Degree or More,2006
2651,45 to 54 years,3733,82222,105817,3761,50020,64374,Bachelor's Degree or More,2006
2652,55 to 64 years,2467,71941,92586,1873,45181,58147,Bachelor's Degree or More,2006
2653,65 years and over,601,50817,65400,363,32207,41449,Bachelor's Degree or More,2006
2658,Total,15217,67980,90324,14441,40684,54056,Bachelor's Degree or More,2005
2659,18 to 24 years,721,25157,33426,1105,22279,29602,Bachelor's Degree or More,2005
2660,25 to 34 years,3811,53385,70932,3905,36736,48811,Bachelor's Degree or More,2005
2661,35 to 44 years,4048,75131,99826,3924,44999,59790,Bachelor's Degree or More,2005
2662,45 to 54 years,3729,85514,113621,3482,46708,62060,Bachelor's Degree or More,2005
2663,55 to 64 years,2291,66384,88203,1675,42134,55983,Bachelor's Degree or More,2005
2664,65 years and over,618,61199,81314,350,27575,36639,Bachelor's Degree or More,2005
2669,Total,14877,63697,87500,14173,38806,53308,Bachelor's Degree or More,2004
2670,18 to 24 years,789,25215,34638,1106,20625,28332,Bachelor's Degree or More,2004
2671,25 to 34 years,3801,50362,69182,4033,35809,49191,Bachelor's Degree or More,2004
2672,35 to 44 years,3956,74520,102368,3716,44171,60677,Bachelor's Degree or More,2004
2673,45 to 54 years,3592,74638,102530,3353,44049,60510,Bachelor's Degree or More,2004
2674,55 to 64 years,2072,71616,98378,1596,38787,53281,Bachelor's Degree or More,2004
2675,65 years and over,667,37491,51501,369,24478,33625,Bachelor's Degree or More,2004
2680,Total,14849,63084,88999,13823,38448,54243,Bachelor's Degree or More,2003
2681,18 to 24 years,739,23611,33311,1171,19514,27530,Bachelor's Degree or More,2003
2682,25 to 34 years,3839,48718,68732,3980,39048,55089,Bachelor's Degree or More,2003
2683,35 to 44 years,4069,71681,101128,3628,41461,58493,Bachelor's Degree or More,2003
2684,45 to 54 years,3632,74074,104504,3258,42633,60147,Bachelor's Degree or More,2003
2685,55 to 64 years,1955,71404,100737,1488,39054,55098,Bachelor's Degree or More,2003
2686,65 years and over,615,51946,73286,299,19482,27485,Bachelor's Degree or More,2003
2691,Total,14668,63503,91625,13590,37909,54697,Bachelor's Degree or More,2002
2692,18 to 24 years,656,24993,36061,1105,20968,30254,Bachelor's Degree or More,2002
2693,25 to 34 years,3935,48727,70306,3950,36542,52724,Bachelor's Degree or More,2002
2694,35 to 44 years,4061,74877,108036,3753,40293,58137,Bachelor's Degree or More,2002
2695,45 to 54 years,3651,75815,109389,3126,43007,62052,Bachelor's Degree or More,2002
2696,55 to 64 years,1831,65655,94730,1374,40938,59067,Bachelor's Degree or More,2002
2697,65 years and over,535,41653,60099,281,20350,29362,Bachelor's Degree or More,2002
2702,Total,14508,63354,92851,13472,36913,54099,Bachelor's Degree or More,2001
2703,18 to 24 years,780,25899,37957,1075,23867,34979,Bachelor's Degree or More,2001
2704,25 to 34 years,4055,49972,73238,4095,36098,52905,Bachelor's Degree or More,2001
2705,35 to 44 years,4027,74793,109616,3721,40259,59003,Bachelor's Degree or More,2001
2706,45 to 54 years,3444,74132,108647,3038,41020,60119,Bachelor's Degree or More,2001
2707,55 to 64 years,1682,69239,101476,1236,35179,51558,Bachelor's Degree or More,2001
2708,65 years and over,520,44857,65742,306,19229,28182,Bachelor's Degree or More,2001
2713,Total,14375,62609,94371,13113,35328,53250,Bachelor's Degree or More,2000
2714,18 to 24 years,774,27638,41659,1128,21046,31723,Bachelor's Degree or More,2000
2715,25 to 34 years,3992,52417,79009,4034,34282,51674,Bachelor's Degree or More,2000
2716,35 to 44 years,4047,69665,105007,3663,38882,58607,Bachelor's Degree or More,2000
2717,45 to 54 years,3586,72791,109719,2919,39493,59528,Bachelor's Degree or More,2000
2718,55 to 64 years,1413,71546,107842,1072,34593,52143,Bachelor's Degree or More,2000
2719,65 years and over,564,44984,67805,296,21614,32579,Bachelor's Degree or More,2000
2724,Total,13810,57669,89875,12680,32547,50723,Bachelor's Degree or More,1999
2725,18 to 24 years,606,20567,32053,965,18103,28213,Bachelor's Degree or More,1999
2726,25 to 34 years,4058,47297,73711,3987,31888,49696,Bachelor's Degree or More,1999
2727,35 to 44 years,3855,63296,98644,3535,35977,56069,Bachelor's Degree or More,1999
2728,45 to 54 years,3390,71344,111187,2961,35574,55441,Bachelor's Degree or More,1999
2729,55 to 64 years,1376,62705,97723,975,32121,50059,Bachelor's Degree or More,1999
2730,65 years and over,525,37854,58994,257,16614,25892,Bachelor's Degree or More,1999
2735,Total,13486,55057,87631,12332,31452,50061,Bachelor's Degree or More,1998
2736,18 to 24 years,617,21677,34502,965,17558,27946,Bachelor's Degree or More,1998
2737,25 to 34 years,3877,43447,69152,3896,30026,47791,Bachelor's Degree or More,1998
2738,35 to 44 years,3932,60689,96596,3632,36018,57328,Bachelor's Degree or More,1998
2739,45 to 54 years,3182,69436,110518,2624,34091,54261,Bachelor's Degree or More,1998
2740,55 to 64 years,1335,60035,95555,973,29544,47024,Bachelor's Degree or More,1998
2741,65 years and over,542,38592,61425,241,20332,32361,Bachelor's Degree or More,1998
2746,Total,13008,50056,80751,12027,30119,48588,Bachelor's Degree or More,1997
2747,18 to 24 years,670,20593,33221,919,18606,30015,Bachelor's Degree or More,1997
2748,25 to 34 years,3813,40774,65777,3957,29490,47573,Bachelor's Degree or More,1997
2749,35 to 44 years,3861,57172,92230,3548,32374,52226,Bachelor's Degree or More,1997
2750,45 to 54 years,2969,58509,94387,2453,34000,54849,Bachelor's Degree or More,1997
2751,55 to 64 years,1242,57399,92596,890,28006,45179,Bachelor's Degree or More,1997
2752,65 years and over,453,35554,57356,260,20195,32579,Bachelor's Degree or More,1997
2757,Total,12562,46702,76968,11466,28701,47301,Bachelor's Degree or More,1996
2758,18 to 24 years,662,19190,31627,916,17184,28321,Bachelor's Degree or More,1996
2759,25 to 34 years,3899,38019,62658,3908,26854,44257,Bachelor's Degree or More,1996
2760,35 to 44 years,3658,55039,90708,3364,31642,52148,Bachelor's Degree or More,1996
2761,45 to 54 years,2808,54498,89817,2244,32039,52803,Bachelor's Degree or More,1996
2762,55 to 64 years,1121,51347,84624,809,28749,47381,Bachelor's Degree or More,1996
2763,65 years and over,413,33386,55023,226,30233,49826,Bachelor's Degree or More,1996
2768,Total,12251,46111,78018,11034,26841,45414,Bachelor's Degree or More,1995
2769,18 to 24 years,765,16231,27462,890,16071,27192,Bachelor's Degree or More,1995
2770,25 to 34 years,3778,37657,63714,3893,25835,43712,Bachelor's Degree or More,1995
2771,35 to 44 years,3511,53884,91170,3352,29666,50194,Bachelor's Degree or More,1995
2772,45 to 54 years,2662,54596,92375,1976,29996,50752,Bachelor's Degree or More,1995
2773,55 to 64 years,1108,55798,94408,680,27534,46587,Bachelor's Degree or More,1995
2774,65 years and over,427,32468,54935,243,15867,26846,Bachelor's Degree or More,1995
2779,Total,12324,46278,80187,10388,26483,45888,Bachelor's Degree or More,1994
2780,18 to 24 years,716,16793,29098,1000,15653,27122,Bachelor's Degree or More,1994
2781,25 to 34 years,3774,34487,59757,3606,25473,44138,Bachelor's Degree or More,1994
2782,35 to 44 years,3646,51820,89790,3006,30248,52412,Bachelor's Degree or More,1994
2783,45 to 54 years,2656,57708,99992,1916,30283,52472,Bachelor's Degree or More,1994
2784,55 to 64 years,1114,63504,110035,659,23591,40877,Bachelor's Degree or More,1994
2785,65 years and over,419,36340,62967,203,15473,26810,Bachelor's Degree or More,1994
2790,Total,11810,43499,76946,10005,25232,44633,Bachelor's Degree or More,1993
2791,18 to 24 years,787,15881,28092,933,13564,23993,Bachelor's Degree or More,1993
2792,25 to 34 years,3510,36723,64960,3482,25043,44299,Bachelor's Degree or More,1993
2793,35 to 44 years,3744,48573,85921,2994,26722,47269,Bachelor's Degree or More,1993
2794,45 to 54 years,2345,55388,97976,1732,29438,52073,Bachelor's Degree or More,1993
2795,55 to 64 years,1002,46272,81851,689,29025,51343,Bachelor's Degree or More,1993
2796,65 years and over,421,33699,59610,175,9177,16233,Bachelor's Degree or More,1993
2801,Total,11340,39912,72381,9741,23926,43390,Bachelor's Degree or More,1992
2802,18 to 24 years,718,16292,29546,942,13527,24531,Bachelor's Degree or More,1992
2803,25 to 34 years,3684,33532,60811,3547,23940,43415,Bachelor's Degree or More,1992
2804,35 to 44 years,3523,46099,83601,2891,26303,47701,Bachelor's Degree or More,1992
2805,45 to 54 years,1987,48748,88405,1576,26981,48930,Bachelor's Degree or More,1992
2806,55 to 64 years,1031,44809,81262,621,23822,43201,Bachelor's Degree or More,1992
2807,65 years and over,396,29992,54391,164,12465,22605,Bachelor's Degree or More,1992
2812,Total,11126,38484,71527,9346,22802,42380,Bachelor's Degree or More,1991
2813,18 to 24 years,710,13762,25578,810,13884,25805,Bachelor's Degree or More,1991
2814,25 to 34 years,3545,31701,58920,3506,22761,42304,Bachelor's Degree or More,1991
2815,35 to 44 years,3411,43490,80831,2829,24672,45856,Bachelor's Degree or More,1991
2816,45 to 54 years,2015,48469,90085,1420,25841,48028,Bachelor's Degree or More,1991
2817,55 to 64 years,1015,47005,87364,601,21835,40583,Bachelor's Degree or More,1991
2818,65 years and over,430,28627,53206,180,13562,25206,Bachelor's Degree or More,1991
2824,Total,7875,117617,117617,10130,72568,72568,Master's Degree,2020
2825,18 to 24 years,74,(B),(B),122,39263,39263,Master's Degree,2020
2826,25 to 34 years,1577,86727,86727,2403,63436,63436,Master's Degree,2020
2827,35 to 44 years,2046,123894,123894,2800,78936,78936,Master's Degree,2020
2828,45 to 54 years,1879,145189,145189,2444,80403,80403,Master's Degree,2020
